Index,case,accept to use AI? trust it?,require explanation? (yes/no/x(not asked)),1st round: specific explanation,2nd round: Comments on card sorting choices ,cards fulfill requirement? (y/n/partial/x(not asked)/black:accept blackbox AI and not require explaination),1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th
P10,#House-unexpect,depends,y,,,y,se,dt,fa,fi,prior,output,fs,,,,,,
P10,#House-control,y,y,,,y,fs,ce,se,,,,,,,,,,
P10,#House-communicate,y,y,,,y,dt,se,output,performance,prior,,,,,,,,
P29,#Health-trust,y,y,"likelihood is high, cause health is important, will take results. if it can provide why, 指标, how to improve prevent treat health; expect justification: my age compared with other people, still why i got DM. I trust it as a lot of data, based on big data, but will consult doctor afterwards.","@fs @fi 直观,@te @se文字不愿意看,倾向留在最后看. se te 自己画的一个表,把@se @te feature列在表里,直观比较,并且高亮出重要feature的比较结果,作为具体分析过程. 类似年龄性别种族的人比较,compariable. @output certainty 不高会减弱信任. @fi @fs 第一印象只能得到结果, 根据heatmap直观得到结果, 而@dt能看到怎么改进",partial,se te,fs fi,output,prior,dt,,,,,,,,
P29,#Health-communicate-doctor,y,y,"打印一个指标给我,拿给医生看就好,因为医生已经了解DM的知识了","医生不用太多,因为医生都知道,给他看数据就好",y,se te,fs fi,output fa prior,,,,,,,,,,
P29,#Health-communicate-family,y,y,"告诉我所有的指标(验血指标,血糖),跟同龄同种族的正常人/病人相比,我的指标在哪个程度;治疗方案是什么,家人需要怎么协助.","基本上这些信息,多多益善",y,se te,fs fi,output fa prior,ce dt,,,,,,,,,
P29,#Health-bias,y,y,"做AI的人应该考虑这些因素,比如一个分布图,我就不用太关心了.我不关心其他种族,只关心对我来说.","这些都有帮助,每个卡片都要加入gender age ethinicity的features,有个不同种族年龄的综合比较,如果各个种族都是这个趋势,就更确信了.",y,se te,fs fi,output fa prior,ce dt,,,,,,,,,
P29,#Health-multi,y,y,"保险公司也是看数据吧,告诉他们我以前有没有家族史,希望他们看一个全面的详细的因素(如有没有家族史,几率是多大,跟健康人别人相比的几率),保险公司会基于此考虑保费.","不需要提供太多信息,@output不想披露太高的certainty, 给他看这些趋势就好@fs @fi @prior",y,se te,fs,fi prior,,,,,,,,,,
P29,#Health-unexpect-lowRisk,y,y,"want to ask why, which features lead to DM, how to improve, like asking a doctor","@se @te 喜欢看人与人之间的比较; 跟之前差不多,多了一个@ce @dt 指导要怎么改善 (@ce 不需要改进,主要是看是谁预测有什么问题; )",y,se te,fs fi,fa,ce dt,,,,,,,,,
P29,#Health-unexpect-highRisk,y,y,"会倾向认为AI是正确的,认为是自己的预防措施做得很好;会问为什么家族有,我没有,是不是我做得太好了?",,x,x,,,,,,,,,,,,
P29,#Health-expected-highRisk,y,y,针对个人的治疗方案,"综合这些信息,更确认一下",y,se te,fs fi,fa,ce dt,,,,,,,,,
P29,#Health-expected-lowRisk,y,n,"10%很低,基本上没有,不会再问","不需要看太多,知道个大概就行",y,se te,fa,,,,,,,,,,,
P29,#Health-control,y,y,"what actions to take, the next follow-up steps (like consult doctors, medicine to take) ","@dt 有个比较,不同output的比较 @fa是不同因素的比较 @ce是具体的建议",y,ce,fa,dt,,,,,,,,,,
P11,#House-trust,y,y,,,y,input,output se ce,fa rt,,,,,,,,,,
P11,#House-expected,y,n,,,y,input,output se ce,fa rt,,,,,,,,,,
P11,#House-unexpect,y,y,,,y,input,output se ce,fa rt,,,,,,,,,,
P11,#House-control,y,y,,,n,none,,,,,,,,,,,,
P11,#House-communicate,y,y,,,y,input,output se ce,fa rt,,,,,,,,,,
P11,#Bird-trust,y,y,,,y,rt df irc,te performance,,,,,,,,,,,
P11,#Bird-unexpect,y,y,,,y,performance,te,,,,,,,,,,,
P11,#Bird-learning,y,y,,,y,df irc rt,ceh cet dt,,,,,,,,,,,
P11,#Bird-report,y,y,,,y,rt,df,,,,,,,,,,,
P11,#Bird-differentiate,y,y,,,y,rt ceh cet,df te,,,,,,,,,,,
P12,#House-trust,y,y,,,y,performance output,,,,,,,,,,,,
P12,#House-expected,y,n,,,black,none,,,,,,,,,,,,
P12,#House-unexpect,n,n,,,y,performance,fa input,,,,,,,,,,,
P12,#House-control,y,y,,,y,performance te se,input fs ce,,,,,,,,,,,
P12,#House-communicate,partial,y,,,y,performance dt input te,prior fs fi,fa rt,,,,,,,,,,
P12,#Bird-trust,y,y,,,y,df irc,rt,output prior,,,,,,,,,,
P12,#Bird-unexpect,n,y,,,y,input df irc ir performance,dt rt,,,,,,,,,,,
